"FID","OBJECTID","SHAPE","BASIS_NAME","BASIS_TYP","BETRIEB","VERWALTUNG","BAUJAHR","DENKMAL","KUENSTLER","BETRIEB_VON","BETRIEB_BIS","AKTIV","SE_ANNO_CAD_DATA","BETREIBER"
"MONUMENTALBRUOGD.30046",30046,"POINT (16.34348068319025 48.21719103765845)","Zimmermannbrunnen","Monumentalbrunnen","MA31-Abt.4",,2009,"Nein","LOMBARDI Ines",,,"07:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30047",30047,"POINT (16.371286430622444 48.17288538158075)","Arthaberbrunnen","Monumentalbrunnen","MA31-Abt.4",,1906,"Ja","BACH Theodor, SCHRÖER Rudolf",,,"08:00-22:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30048",30048,"POINT (16.345660981413534 48.27799494207186)","Brunnen am Leopoldsberg","Monumentalbrunnen","MA31-Abt.4",,1804,"Ja",,,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30049",30049,"POINT (16.39996070492758 48.257423435545746)","Wiener Wasser Wellen","Monumentalbrunnen","MA31-Abt.4",,,"Nein",,,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30050",30050,"POINT (16.3814445649825 48.24680283699014)",,"Monumentalbrunnen",,,,"Nein",,,,,,
"MONUMENTALBRUOGD.30051",30051,"POINT (16.359777238810917 48.21094876181603)","Brunnen im Rathauspark (rechts)","Monumentalbrunnen","MA31-Abt.4",,1910,"Ja",,,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30052",30052,"POINT (16.38890032412171 48.201370472927024)","Karl-Borromäus-Brunnen","Monumentalbrunnen","MA31-Abt.4",,1909,"Ja","PLECNIK Josef, ENGELHART Josef, HAUSER Eduard, FRÖMMEL A.",,,"08:00-24:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30053",30053,"POINT (16.376105519545316 48.19837710971918)","Hochstrahlbrunnen","Monumentalbrunnen","MA31-Abt.4",,1873,"Ja","GABRIELLI Anton",,,"07:00-24:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30054",30054,"POINT (16.343971926524826 48.21436541982557)","Isisbrunnen","Monumentalbrunnen","MA31-Abt.4",,1834,"Ja","HAUSER Alois, Gräflich Salmsche Fabrik in Blansko, VEITH Franz",,,"07:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30055",30055,"POINT (16.364150788154944 48.208531693153546)","Wasserwellen-Lebens-Brunnen (Lapislazulibrunnen)","Monumentalbrunnen","MA31-Abt.4",,2000,"Nein","MUHR Hans",,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30056",30056,"POINT (16.38001909538404 48.199054236641835)","Marokkanerbrunnen","Monumentalbrunnen","MA31-Abt.4",,1999,"Nein",,,,"07:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30057",30057,"POINT (16.3251200656682 48.19747305508542)","Wasserwelt - Lebensbaum","Monumentalbrunnen","MA 31",,1991,"Nein","MUHR Hans",,,"08:00-21:00",,"MA 31"
"MONUMENTALBRUOGD.30058",30058,"POINT (16.32064351210385 48.19771580725013)","Wasserwelt - Wasserbecken A","Monumentalbrunnen","MA 31",,1995,"Nein","VIEHBÖCK Waltrud",,,,,"MA 31"
"MONUMENTALBRUOGD.30059",30059,"POINT (16.324719650539734 48.19735011442346)","Wasserwelt - Berliner Trinkbrunnen","Monumentalbrunnen","MA 31",,1991,"Nein",,,,"08:00-21:00",,"MA 31"
"MONUMENTALBRUOGD.30060",30060,"POINT (16.32231460574956 48.19745588465189)","Wasserwelt - Spielbrunnen","Monumentalbrunnen","MA 31",,1991,"Nein","GUTTMANN Rudolf, FALKNER Rupert",,,"08:00-21:00",,"MA 31"
"MONUMENTALBRUOGD.30061",30061,"POINT (16.323522038840736 48.19730240084823)","Wasserwelt - Wasserlichtbogen","Monumentalbrunnen","MA 31",,1995,"Nein","GUTTMANN Rudolf, FALKNER Rupert",,,,,"MA 31"
"MONUMENTALBRUOGD.30062",30062,"POINT (16.324033978138335 48.19724444130752)","Wasserwelt - Denkzeichen","Monumentalbrunnen","MA 31",,1991,"Nein","NAKAJIMA Osamu",,,"08:00-21:00",,"MA 31"
"MONUMENTALBRUOGD.30063",30063,"POINT (16.355802786511887 48.210672093709654)",,"Monumentalbrunnen","MA 42",,,"Nein",,,,,,"MA 42"
"MONUMENTALBRUOGD.30064",30064,"POINT (16.312457951013577 48.18800782903542)","Jungbrunnen","Monumentalbrunnen","MA31-Abt.4",,1913,"Nein","PANHOLZER Rudolf",,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30065",30065,"POINT (16.40242764534845 48.21543370710639)","Zierbrunnen (Walfischbrunnen)","Monumentalbrunnen","MA31-Abt.4",,,"Nein",,,,"08:00-21:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30066",30066,"POINT (16.36913825862498 48.2091225630452)","Josefsbrunnen","Monumentalbrunnen","MA31-Abt.4",,1804,"Ja","FISCHER Johann Martin",,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30067",30067,"POINT (16.378346835899563 48.203728056294764)","Donauweibchenbrunnen","Monumentalbrunnen","MA31-Abt.4",,1873,"Ja","GASSER Hans",,,"07:00-01:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30068",30068,"POINT (16.380654058807174 48.20306383084178)","Sebastian-Kneipp-Brunnen","Monumentalbrunnen","MA31-Abt.4",,1912,"Nein","WOLLEK Carl",,,"08:00-24:00",,"MA31-Abt.4"
"MONUMENTALBRUOGD.30069",30069,"POINT (16.319248621100467 48.18725977992755)","Jungbrunnen","Monumentalbrunnen","MA31-Abt.4",,,"Nein",,,,,,"MA31-Abt.4"
"MONUMENTALBRUOGD.30070",30070,"POINT (16.380690532716336 48.20484291666953)","Befreiung-der-Quelle-Brunnen","Monumentalbrunnen","MA31-Abt.4",,1903,"Ja","HEU Josef",,,"07:00-01:00",,"MA31-Abt.4"
